SMILES,LogS,Temperature_K,Compound_Name,CAS,PubChem_CID,FDA_Approved,Source,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotBonds,NumAromRings,HeavyAtomCount,RingCount,FractionCSP3
C(=N/Nc1ccccc1)\c1ccc[nH]1,-4.489019458114034,298.15,Pyrrole-2-carboxaldehyde phenylhydrazone,,,No,10.1007/s10953-010-9568-z,185.23,2.4607,40.18,2,2,3,2,14,2,0.0
C(=N/Nc1ccccc1)\c1ccco1,-4.498762457810566,298.15,Furan-2-carboxaldehyde phenylhydrazone,2216-75-3,5375013.0,No,10.1007/s10953-010-9568-z,186.214,2.725600000000001,37.53,1,3,3,2,14,2,0.0
C(=N/Nc1ccccc1)\c1cccs1,-4.541749745381413,298.15,Thiophene-2-carboxaldehyde phenylhydrazone,39677-96-8,5716065.0,No,10.1007/s10953-010-9568-z,202.282,3.194100000000001,24.39,1,3,3,2,14,2,0.0
O=[N+]([O-])c1ccc(N/N=C/c2ccc[nH]2)cc1,-5.018871150367018,298.15,Pyrrole-2-carboxaldehyde 4-nitrophenylhydrazone,,,No,10.1007/s10953-010-9568-z,230.22700000000003,2.3689,83.32,2,4,4,2,17,2,0.0
O=[N+]([O-])c1ccc(N/N=C/c2ccco2)cc1,-5.021388807022559,298.15,Furan-2-carboxaldehyde 4-nitrophenylhydrazone,,6049384.0,No,10.1007/s10953-010-9568-z,231.211,2.633800000000001,80.67,1,5,4,2,17,2,0.0
O=[N+]([O-])c1ccc(N/N=C/c2cccs2)cc1,-5.031607973941424,298.15,Thiophene-2-carboxaldehyde 4-nitrophenylhydrazone,,,No,10.1007/s10953-010-9568-z,247.279,3.1023000000000014,67.53,1,5,4,2,17,2,0.0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,-3.779794771023703,298.15,Lornoxicam,70374-39-9,54690031.0,Yes,10.1007/s10953-012-9876-6,371.82700000000006,2.2959,99.6,2,6,2,2,23,3,0.0769230769230769
C=C(CC(=O)O)C(=O)O,0.7184571786385131,278.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.722736859317639,283.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.7241155460352388,288.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.7414335256316406,293.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.7585721332324994,298.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.7794736884378436,303.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.8333241166072504,308.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.8962726034881382,313.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,0.9708945594834756,318.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,1.058161357507207,323.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,1.15215280206568,328.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
C=C(CC(=O)O)C(=O)O,1.2727620884474435,333.15,Itaconic acid,97-65-4,811.0,No,10.1007/s10953-012-9894-4,130.099,0.1018999999999998,74.6,2,2,3,0,9,0,0.2
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.475175983884266,288.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.386030295644092,293.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.287030249746572,298.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.250147965558035,303.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.195935852197989,308.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.148619818747412,313.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-4.035085328911574,318.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-3.9262636822238526,323.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
